#,Video ID,Title,Duration,Seconds
1,WiGU_ZB-u0w,"Cap. 1 – Visão Geral – 1. Bem-vindo!",5m 9s,309
2,jXA0O5b-F1g,"Cap. 1 – Visão Geral – 2. Por que Go?",6m 10s,370
3,CvH9fC2eYO8,"Cap. 1 – Visão Geral – 3. Sucesso",5m 0s,300
4,n7PZo55Wl5A,"Cap. 1 – Visão Geral – 4. Recursos",3m 3s,183
5,V9zfX8Yhc9g,"Cap. 1 – Visão Geral – 5. Como esse curso funciona",3m 5s,185
6,B5sy5v2dT9Y,"Cap. 1 – Visão Geral – 6. Update: Exercícios",3m 9s,189
7,Qf2645sTqH0,"Cap. 2 – Variáveis, Valores & Tipos – 1. Go Playground",9m 14s,554
8,tdZ2I2RZ7JI,"Cap. 2 – Variáveis, Valores & Tipos – 2. Hello world!",13m 46s,826
9,QT7YvrEWMGE,"Cap. 2 – Variáveis, Valores & Tipos – 3. Operador curto de declaração",19m 2s,1142
10,YAGKHSNWdEE,"Cap. 2 – Variáveis, Valores & Tipos – 4. A palavra-chave var",5m 20s,320
11,DazALie4u5E,"Cap. 2 – Variáveis, Valores & Tipos – 5. Explorando tipos",6m 15s,375
12,Ruwp2xLD_AI,"Cap. 2 – Variáveis, Valores & Tipos – 6. Valor zero",6m 28s,388
13,IjDiONSi-tI,"Cap. 2 – Variáveis, Valores & Tipos – 7. O pacote fmt",10m 54s,654
14,DGHYibXY6Qk,"Cap. 2 – Variáveis, Valores & Tipos – 8. Criando seu próprio tipo",4m 5s,245
15,s0UYWJUz30k,"Cap. 2 – Variáveis, Valores & Tipos – 9. Conversão, não coerção",5m 53s,353
16,5K17jFDXvWw,"Cap. 3 – Exercícios: Nível #1 – 1",3m 2s,182
17,Q7ZrIDMj9zc,"Cap. 3 – Exercícios: Nível #1 – 2",2m 22s,142
18,VkuZ4QMnoZM,"Cap. 3 – Exercícios: Nível #1 – 3",2m 15s,135
19,5-0S-gefNe0,"Cap. 3 – Exercícios: Nível #1 – 4",2m 46s,166
20,O0r318FN_Uw,"Cap. 3 – Exercícios: Nível #1 – 5",4m 1s,241
21,OINd35-02xo,"Cap. 3 – Exercícios: Nível #1 – 6",8m 5s,485
22,voisg61hPXA,"Cap. 4 – Fundamentos da Programação – 1. Tipo booleano",6m 53s,413
23,C55_dhNmvrQ,"Cap. 4 – Fundamentos da Programação – 2. Como os computadores funcionam",17m 54s,1074
24,3yIKCLSWAHA,"Cap. 4 – Fundamentos da Programação – 3. Tipos numéricos",14m 2s,842
25,g0j0XaVk2EI,"Cap. 4 – Fundamentos da Programação – 4. Overflow",2m 39s,159
26,AcyS0_BAy7U,"Cap. 4 – Fundamentos da Programação – 5. Tipo string (cadeias de caracteres)",10m 42s,642
27,Ma3M7Pdd7HI,"Cap. 4 – Fundamentos da Programação – 6. Sistemas numéricos",10m 25s,625
28,Yaw80pKukMc,"Cap. 4 – Fundamentos da Programação – 7. Constantes",6m 23s,383
29,1IduyaGMO3g,"Cap. 4 – Fundamentos da Programação – 8. Iota",4m 56s,296
30,USntMXkOihY,"Cap. 4 – Fundamentos da Programação – 9. Deslocamento de bits",7m 24s,444
31,onK_nd--g1g,"Cap. 5 – Exercícios: Nível #2 – 1",2m 49s,169
32,8zEZw19gRTo,"Cap. 5 – Exercícios: Nível #2 – 2",4m 38s,278
33,12o81rTFu_w,"Cap. 5 – Exercícios: Nível #2 – 3",1m 2s,62
34,NxntmGW62Ag,"Cap. 5 – Exercícios: Nível #2 – 4",2m 44s,164
35,LSKCaxazLGs,"Cap. 5 – Exercícios: Nível #2 – 5",59s,59
36,M07eDn7FyxI,"Cap. 5 – Exercícios: Nível #2 – 6",1m 58s,118
37,9eMbGsKcWlc,"Cap. 5 – Exercícios: Nível #2 – 7",7m 45s,465
38,1G-tbQ6UE_A,"Cap. 6 – Fluxo de Controle – 1. Entendendo fluxo de controle",6m 35s,395
39,g_Qdxi1b2cE,"Cap. 6 – Fluxo de Controle – 2. Loops: inicialização, condição, pós",4m 41s,281
40,EL9wo6Zrz9o,"Cap. 6 – Fluxo de Controle – 3. Loops: nested loop (repetição hierárquica)",6m 55s,415
